n;M(X)
1;1
2;1.492
3;2.191
4;2.824
5;3.454
6;4.05
7;4.662
8;5.286
9;5.911
10;6.604
11;7.111
12;7.909
13;8.447
14;8.998
15;9.646
16;10.224
17;10.973
18;11.454
19;12.256
20;12.798
21;13.178
22;14.062
23;14.57
24;15.455
25;15.927
26;16.783
27;17.351
28;17.677
29;18.679
30;19.073
31;19.345
32;20.29
33;20.091
34;21.68
35;22.493
36;22.827
37;23.331
38;24.592
39;24.562
40;25.084
41;26.243
42;26.445
43;27.107
44;27.576
45;28.828
46;29.154
47;29.413
48;30.208
49;31.411
50;31.532
51;32.214
52;32.407
53;33.438
54;33.853
55;34.784
56;35.754
57;35.942
58;36.29
59;37.284
60;38.611
61;38.83
62;38.616
63;40.011
64;40.549
65;41.153
66;41.304
67;43.089
68;42.348
69;43.387
70;44.147
71;43.706
72;44.427
73;46.319
74;46.816
75;47.481
76;48.19
77;48.712
78;49.381
79;49.348
80;49.734
81;51.11
82;51.759
83;51.99
84;52.991
85;52.645
86;54.462
87;55.646
88;55.247
89;55.869
90;57.266
91;56.242
92;57.214
93;59.264
94;60.094
95;59.497
96;60.388
97;59.254
98;61.502
99;62.301
100;62.855
